Agent ID,Sense Capabilities,Act Capabilities,Soft Capabilities,CPU (FLOPs),CPU Count,GPU (FLOPs),GPU Memory (GB),RAM (GB),Disk (GB)
1,[set()],[{3}],[{2}],50.0,4.0,20.0,4.0,8.0,20.0
2,"[{1, 2}]","[{1, 3}]","[{5, 6, 7}]",155.0,9.0,53.0,11.0,24.0,60.0
3,"[{1, 3}]",[set()],"[{5, 6}]",85.0,5.0,28.0,5.0,12.0,30.0
4,[set()],"[{1, 3}]","[{9, 2}]",70.0,5.0,20.0,4.0,10.0,25.0
5,"[{1, 3}]",[set()],[{4}],50.0,4.0,20.0,4.0,10.0,20.0
6,[set()],[{1}],"[{8, 5}]",75.0,5.0,25.0,4.0,10.0,25.0
7,[set()],"[{1, 2}]","[{2, 3, 5}]",140.0,10.0,50.0,10.0,20.0,50.0
8,[set()],[{1}],"[{9, 4}]",70.0,5.0,20.0,4.0,12.0,25.0
9,[set()],[{1}],"[{5, 7}]",130.0,8.0,50.0,10.0,20.0,50.0
10,"[{1, 2}]",[set()],"[{8, 3, 5}]",105.0,7.0,30.0,6.0,14.0,35.0
11,"[{2, 3}]",[set()],"[{4, 6}]",75.0,5.0,23.0,5.0,14.0,30.0
12,[set()],[{3}],[{2}],50.0,4.0,20.0,4.0,8.0,20.0
13,[{3}],[set()],[{7}],70.0,4.0,25.0,6.0,12.0,30.0
14,"[{2, 3}]",[set()],[{2}],50.0,4.0,20.0,4.0,8.0,20.0
15,"[{1, 2}]",[{3}],"[{9, 3, 5}]",110.0,7.0,30.0,6.0,14.0,35.0
16,[{1}],"[{1, 3}]","[{8, 1, 6}]",100.0,6.0,28.0,5.0,16.0,40.0
17,[{1}],"[{1, 3}]",[{8}],15.0,1.0,0.0,0.0,2.0,5.0
18,[set()],[{2}],"[{9, 4, 7}]",140.0,9.0,45.0,10.0,24.0,55.0
19,[set()],"[{2, 3}]","[{8, 2, 4}]",115.0,9.0,40.0,8.0,20.0,45.0
20,"[{1, 3}]",[set()],[{2}],50.0,4.0,20.0,4.0,8.0,20.0
21,[{2}],[{3}],[{5}],60.0,4.0,25.0,4.0,8.0,20.0
22,"[{1, 2}]","[{1, 3}]",[{7}],70.0,4.0,25.0,6.0,12.0,30.0
23,"[{1, 2}]","[{1,2}]","[{1, 2, 7}]",180.0,12.0,70.0,14.0,30.0,75.0
24,"[{1, 2}]",[{2}],"[{2, 4}]",100.0,8.0,40.0,8.0,18.0,40.0
25,[{1}],[set()],"[{1, 2, 4}]",160.0,12.0,65.0,12.0,28.0,65.0
26,"[{1, 2}]",[set()],[{3}],30.0,2.0,5.0,2.0,4.0,10.0
27,"[{1, 3}]","[{1, 3}]","[{9, 1, 6}]",105.0,6.0,28.0,5.0,16.0,40.0
28,[{1}],[{3}],[{4}],50.0,4.0,20.0,4.0,10.0,20.0
29,[{3}],[set()],"[{2, 6, 7}]",145.0,9.0,48.0,11.0,24.0,60.0
30,[set()],[{3}],[{5}],60.0,4.0,25.0,4.0,8.0,20.0
31,"[{2, 3}]",[set()],[{1}],60.0,4.0,25.0,4.0,10.0,25.0
32,[{1}],[set()],"[{3, 5, 6}]",115.0,7.0,33.0,7.0,16.0,40.0
33,"[{2, 3}]",[{3}],"[{2, 3, 5}]",140.0,10.0,50.0,10.0,20.0,50.0
34,[{3}],[set()],"[{4, 5}]",110.0,8.0,45.0,8.0,18.0,40.0
35,[set()],[{3}],"[{8, 9}]",35.0,2.0,0.0,0.0,4.0,10.0
36,[{1}],[set()],"[{1, 10}]",70.0,5.0,25.0,4.0,12.0,30.0
37,[{3}],[set()],[{8}],15.0,1.0,0.0,0.0,2.0,5.0
38,[{3}],[{2}],"[{9, 3, 7}]",120.0,7.0,30.0,8.0,18.0,45.0
39,"[{1, 2}]",[set()],[{4}],50.0,4.0,20.0,4.0,10.0,20.0
40,[set()],"[{2, 3}]","[{10, 3, 4}]",90.0,7.0,25.0,6.0,16.0,35.0
